Trans. Date,Post Date,Description,Amount,Category
01/25/2025,01/26/2025,AMAZON.COM*2X8K9MN,-89.99,Merchandise
01/24/2025,01/25/2025,CHEVRON 0047892,-45.67,Gas Stations
01/23/2025,01/24/2025,GRUBHUB*PANERA BREAD,-24.56,Restaurants
01/22/2025,01/23/2025,APPLE.COM/BILL,-0.99,Services
01/21/2025,01/22/2025,HOME DEPOT #4521,-178.45,Home Improvement
01/20/2025,01/21/2025,STEAM PURCHASE,-59.99,Entertainment
01/19/2025,01/20/2025,SAFEWAY STORE #2847,-112.34,Supermarkets
01/18/2025,01/19/2025,NORDSTROM RACK,-87.65,Department Stores
01/17/2025,01/18/2025,DELTA AIR LINES,-342.00,Travel
01/16/2025,01/17/2025,HILTON HOTELS,-189.00,Travel
01/15/2025,01/16/2025,UBER *TRIP,-19.87,Travel
01/14/2025,01/15/2025,OLIVE GARDEN #0548,-56.78,Restaurants
01/13/2025,01/14/2025,PETCO 1548,-45.23,Merchandise
01/12/2025,01/13/2025,DISCORD NITRO,-9.99,Services
01/11/2025,01/12/2025,COURSERA INC,-49.00,Education
01/10/2025,01/11/2025,GYM MEMBERSHIP,-35.00,Services
01/09/2025,01/10/2025,MICROSOFT *XBOX,-14.99,Entertainment
01/08/2025,01/09/2025,RITE AID #5478,-22.34,Merchandise
01/07/2025,01/08/2025,CHICK-FIL-A #02541,-12.45,Restaurants
01/06/2025,01/07/2025,DUNKIN #354789,-8.56,Restaurants
01/05/2025,01/06/2025,AUDIBLE*MX8K2N9,-14.99,Services
01/04/2025,01/05/2025,BEST BUY #847,-299.99,Electronics
01/03/2025,01/04/2025,INSTACART*COSTCO,-156.78,Supermarkets
01/02/2025,01/03/2025,SPOTIFY USA,-9.99,Services
01/01/2025,01/02/2025,PAYMENT THANK YOU,500.00,Payments
