Date,Description,Amount,Running Bal.
01/25/2025,AMAZON.COM*RT5YK92J1,-47.99,2156.78
01/24/2025,WHOLEFDS MKT 10847,-89.23,2204.77
01/24/2025,SPOTIFY USA,-9.99,2294.00
01/23/2025,UBER *TRIP HELP.UBER.COM,-23.45,2303.99
01/22/2025,SHELL OIL 574328476,-52.30,2327.44
01/22/2025,NETFLIX.COM,-15.99,2379.74
01/21/2025,TARGET 00012847563,-156.78,2395.73
01/20/2025,VENMO *JOHN-DOE,150.00,2552.51
01/19/2025,TRADER JOE'S #547,-67.82,2402.51
01/18/2025,LYFT *RIDE SAT 6PM,-18.75,2470.33
01/17/2025,CHEESECAKE FACTORY,-78.45,2489.08
01/17/2025,AMC THEATRES 0547,-32.00,2567.53
01/16/2025,PLANET FITNESS,-24.99,2599.53
01/15/2025,COMCAST CABLE,-125.00,2624.52
01/14/2025,PG&E UTILITY,-145.67,2749.52
01/13/2025,CVS/PHARMACY #4521,-28.43,2895.19
01/12/2025,STARBUCKS STORE 12547,-7.85,2923.62
01/11/2025,COSTCO WHSE #1247,-234.56,2931.47
01/10/2025,ADOBE *CREATIVE CLD,-54.99,3166.03
01/10/2025,PAYROLL DIRECT DEP,2850.00,3221.02
01/09/2025,AMAZON PRIME*RT8HJ2,-14.99,371.02
01/08/2025,UBER EATS *1X2K9,-34.67,386.01
01/07/2025,WALGREENS #5478,-19.99,420.68
01/06/2025,DROPBOX*8X7K2M9N,-11.99,440.67
01/05/2025,CHIPOTLE ONLINE,-15.45,452.66
01/04/2025,DOORDASH*MCDONALDS,-28.90,468.11
01/03/2025,HULU 877-824-4858,-17.99,497.01
01/02/2025,APPLE.COM/BILL,-2.99,515.00
01/01/2025,AT&T *PAYMENT,-95.00,517.99
